model,mode,mae,rmse,r2,n,domain
baseline_mean,cross_participant,0.06071218586734685,0.07548936765818103,-0.004899633712748486,250,memory
random_forest,cross_participant,0.05514842629081156,0.0693192695224925,0.15265734738982872,250,memory
gbr,cross_participant,0.0593697765222364,0.07390529021691344,0.036831731275499324,250,memory
baseline_mean,cross_participant,0.041327053724089374,0.051552810590497766,-0.0017033645505790673,250,attention
random_forest,cross_participant,0.04415105470244073,0.054065287873374515,-0.10172061828802703,250,attention
gbr,cross_participant,0.047592351417670355,0.0580456643848917,-0.26991312135738244,250,attention
baseline_mean,cross_participant,0.03595749928325452,0.04321795661361011,-0.004245368510351177,250,language
random_forest,cross_participant,0.0348333306851344,0.04317245326764477,-0.002131780940497263,250,language
gbr,cross_participant,0.035825307939221424,0.045052499527228194,-0.09131257793423098,250,language
