model,mode,mae,rmse,r2,n,domain
baseline_mean,cross_participant,0.06071218586734685,0.07548936765818103,-0.004899633712748486,250,memory
ridge,cross_participant,0.054411870651957926,0.06680950327081335,0.21290419359297852,250,memory
baseline_mean,cross_participant,0.041327053724089374,0.051552810590497766,-0.0017033645505790673,250,attention
ridge,cross_participant,0.04150504634446462,0.051605763065788464,-0.0037622208358423226,250,attention
baseline_mean,cross_participant,0.03595749928325452,0.04321795661361011,-0.004245368510351177,250,language
ridge,cross_participant,0.034383095491603795,0.04225465516241334,0.04002371882452038,250,language
